[00:00:00] 要别人去。
[00:00:09] 小爱同学哎。
[00:00:13] 播放。
[00:00:16] 起风了，
[00:00:17] 请问你想听什么呢？
[00:00:19] 播放起风了。
[00:00:21] 好啊，
[00:00:21] 一起听起风了，
[00:00:23] 试听版手机打开小米音箱APP，
[00:00:27] 开通音乐会员听全曲。
[00:00:50] 这一年你想走走停停转转，
[00:00:55] 想你飘的如今白雨中洒进了情一刻，
[00:01:01] 情有时候越多。
[00:01:03] 小爱同学行。
[00:01:09] 好了，
[00:01:10] 大家能够听见吗？
[00:01:12] 也今天晚上可能来的人比较多啊。
[00:01:16] 我看见我们有很多同学都来了。
[00:01:20] 好吧，
[00:01:22] 有吗？
[00:01:27] 有吗？
[00:01:27] 好了，
[00:01:28] 大家可以把自己具体的城市的名字敲在评论区啊，
[00:01:33] 我看一下大家都来自于哪个地方？
[00:01:37] 好吧，
[00:01:37] 大家可以把自己的具体的城市的名字敲在评论区。
[00:01:41] 哎呀，
[00:01:41] 大作文的话呢，
[00:01:43] 有的同学问我要不要预习，
[00:01:45] 我给大家说一下，
[00:01:47] 不用预习，
[00:01:48] 但是需要大家能够该背诵的背诵。
[00:01:51] 这个第一次上课之前呢，
[00:01:53] 我就先问大家一下，
[00:01:54] 我让你们背的东西，
[00:01:56] 你们能不能背，
[00:01:57] 如果最后压不中，
[00:01:58] 你们可以直接来骂我，
[00:02:00] 但是如果最后压中了，
[00:02:02] 你没有背。
[00:02:02] 然后呢？
[00:02:03] 到时候我骂你，
[00:02:04] 你觉得同意不同意的话，
[00:02:06] 我们第一节课就表个态好吧，
[00:02:08] 我再给大家说一下啊。
[00:02:10] 不背的话呢，
[00:02:11] 到时候我就肯定我要直播课，
[00:02:13] 我就开始骂人了啊，
[00:02:14] 大家一定加把劲行吧？
[00:02:18] 好了，
[00:02:18] 我们呢，
[00:02:19] 就是每天都有不同的同学加进来哈，
[00:02:22] 也希望通呃，
[00:02:23] 对了，
[00:02:23] 我给大家做了一个开课，
[00:02:25] 说明这个大指纹呢，
[00:02:27] 也是给大家提供这个。
[00:02:29] 大指纹也是给大家提供一个叫什么大指纹，
[00:02:32] 也是给大家提供一个。
[00:02:34] 我怎么给大家说大指纹也是给大家提供一个打卡的啊，
[00:02:39] 大家听一下大指纹的开课，
[00:02:41] 说明我们给大家呢？
[00:02:43] 打卡有礼物送，
[00:02:44] 一共打十次卡啊。
[00:02:46] 这样的话，
[00:02:46] 你会拿到考前的所有的押题的东西了，
[00:02:50] 好吧？
[00:02:50] 这节课的话呢，
[00:02:51] 我们提前给大家说一下大节课呢，
[00:02:54] 大总文的话呢，
[00:02:55] 要比我们之大总要比我们之前的课的话呢，
[00:02:59] 给大家额外加一节课，
[00:03:01] 大家同意不？
[00:03:02] 就原来我们这个课是给大家承诺的，
[00:03:05] 是一共是19次课，
[00:03:06] 现在要加一次课，
[00:03:07] 一共是20次课。
[00:03:09] 行吧，
[00:03:09] 这个是希望大家那个啊，
[00:03:11] 这不是违约，
[00:03:12] 是因为我觉得备课的过程当中呢呃，
[00:03:15] 稍微的再加一节课，
[00:03:16] 这样大家可能消化的会更好一些啊。
[00:03:19] 好了，
[00:03:19] 废话不多说，
[00:03:20] 我们这节课也就正式开始了，
[00:03:22] 所有的同学，
[00:03:23] 你如果能够听见的话，
[00:03:25] 就给老师打个机，
[00:03:26] 我们直播也就开始了哈。
[00:03:28] 这节课我们先给大家问一下一篇大作文，
[00:03:32] 你觉得它主要是包含几个架构，
[00:03:35] 能不能告诉我？
[00:03:37] 一个大作文，
[00:03:38] 我们拿到一篇大作文，
[00:03:40] 最重要的先要写什么？
[00:03:42] 是不是先要写标题啊？
[00:03:44] 好，
[00:03:44] 接着写完了标题要写什么？
[00:03:47] 是不是要写开头啊？
[00:03:50] 写完了开头要写什么？
[00:03:52] 是不是要写分论点以及分论点的论证啊？
[00:03:58] 写完了分论点的论证，
[00:04:00] 最后一步，
[00:04:01] 请问大家一下写什么？
[00:04:03] 是不是要写一个结尾啊？
[00:04:05] 好了，
[00:04:05] 所有的同学，
[00:04:07] 那么我们呢？
[00:04:08] 就是按照这种大指纹的要素，
[00:04:11] 我们把标题和开头的。
[00:04:13] 后半句这节课给大家拆解完毕，
[00:04:16] 就像一个人一样，
[00:04:17] 到底怎么画人呢？
[00:04:18] 怎么画头？
