[00:00:00] 没有的话呢，
[00:00:01] 就不用打了啊，
[00:00:02] 这给大家展现一下什么样的叫做控场也就可以了，
[00:00:06] 各位这节课呢，
[00:00:07] 我们给大家讲一个AB类的。
[00:00:10] 你们经历了上面的几节课，
[00:00:12] 有的同学呢，
[00:00:13] 可能觉得自己已经学的差不多了，
[00:00:15] 那其实呢，
[00:00:16] 这节课有可能再给你产生一次打击。
[00:00:18] 我觉得一个人啊，
[00:00:20] 只有在打击当中才能够不断的这种成长，
[00:00:23] 首先带着大家看一下这道题目，
[00:00:25] 这是二四年河南省考的一个题目。
[00:00:27] 二四年的话呢，
[00:00:28] 河南省考东哥呢，
[00:00:30] 发了一笔横财，
[00:00:31] 为什么呢？
[00:00:32] 因为河南的同学呢，
[00:00:33] 就是在二四年省考当中跟我考到70加的特别多，
[00:00:37] 我在河南呢，
[00:00:38] 光带面试班线下的哈招了800个人。
[00:00:40] 一个人呢，
[00:00:41] 给我交了6800块钱，
[00:00:43] 当然去其他机构呢，
[00:00:44] 要交16800，
[00:00:45] 各位为什么就是因为考前的话呢，
[00:00:48] 我给大家压了AB类的很多同学呢，
[00:00:50] 当时遇到了我们来看看河南考了这个AB类的，
[00:00:53] 看看能不能把？
[00:00:55] 把它搞定行吧，
[00:00:56] 就是给定资料五中提到有效的社会治理需要硬设施和软服务的完美结合，
[00:01:04] 离不开。
[00:01:05] 参与各方的相互成就，
[00:01:07] 那么请你思考这句话，
[00:01:09] 参考给定材料联系实际自选角度，
[00:01:12] 自拟题目，
[00:01:12] 写一篇文章，
[00:01:13] 所有的同学，
[00:01:14] 我现在问你们一下。
[00:01:16] 你们觉得这个题目对于我们来讲，
[00:01:19] 首先要进行一个审题，
[00:01:21] 能不能把这题干当中最重要的关键词给老师直接写在屏幕上，
[00:01:27] 我们来看一下。
[00:01:28] 大家能不能用一分钟的时间，
[00:01:30] 把最重要的关键词写在屏幕上，
[00:01:33] 这是非常重要的，
[00:01:34] 如果你审题的时候。
[00:01:36] 待会儿你的标题当中没有含有题干当中最重要的关键词，
[00:01:41] 大概率你就是跑题的了，
[00:01:43] 所以如果是我的话，
[00:01:44] 我会看到其中有一个词叫社会治理。
[00:01:47] 我还会看到其中有一个词叫硬设施，
[00:01:50] 我还会看到有一个词叫软服务，
[00:01:53] 另外有没有觉得这个题目和我们那个文明之所以成为文明？
[00:01:59] 它有点不一样，
[00:02:00] 大家有没有觉得就是我们之前给大家讲过一个文明，
[00:02:04] 之所以成为文明，
[00:02:06] 是因为它又包容现代传统生活方式，
[00:02:09] 又尊容啊传统。
[00:02:10] 尊重传统之类的，
[00:02:12] 但是这个后面还有一句话叫离不开参与各方的相互成就，
[00:02:16] 能够看懂吗？
[00:02:17] 各位，
[00:02:17] 那么我先问大家一下，
[00:02:19] 如果我们拟定一个标题的话，
[00:02:21] 前半句写对策，
[00:02:22] 后半句写。
[00:02:23] 影响的话，
[00:02:24] 大家觉得应该怎么拟标题？
[00:02:26] 有没有同学能够给老师琢磨出来？
[00:02:29] 那么你的对策不就是把硬设施，
[00:02:31] 软服务结合吗？
[00:02:33] 那么，
[00:02:33] 怎么样把硬设施，
[00:02:35] 软服务结合呢？
[00:02:36] 你可以写一个软硬。
[00:02:39] 结合行不行？
[00:02:40] 完了之后软硬结合，
[00:02:42] 它有什么样的影响呢？
[00:02:44] 它对社会治理有影响，
[00:02:47] 你就可以写那么。
[00:02:48] 优化社会治理或者是完善。
[00:02:53] 社会治理，
[00:02:54] 大家觉得可以不这样的话，
[00:02:56] 你就把它给我搞定了，
[00:02:58] 当然如果大家呢，
[00:03:00] 想把它写的有文采一点，
[00:03:02] 也可以把它写成叫软硬。
[00:03:05] 并驾齐驱。
[00:03:09] 软硬并驾齐驱OK，
[00:03:11] 下面再写一个叫做影响有效的社会治理，
[00:03:16] 也就叫做共筑。
[00:03:18] 社会治理新格局。
[00:03:20] 共筑社会。
[00:03:24] 治理。
[00:03:27] 叫做新格局OK，
[00:03:28] 一起把它搞定也就可以了，
[00:03:31] 这个也是我们的一个方向，
[00:03:33] 另外一个像这种类似于AB类的，
[00:03:36] 我还教了大家一个模板。
[00:03:39] 各位可以写什么叫硬设施？
[00:03:43] 下面再加一个与软服务。
[00:03:50] 再加一个影响，
[00:03:51] 叫做双向奔赴，
[00:03:52] 但是我不建议大家写双向奔赴，
[00:03:54] 为什么呢？
[00:03:55] 因为这个题目如果你写了双向奔赴的话，
[00:03:59] 你就会缺少社会治理这个关键词。
[00:04:01] 每今年在国考的时候，
[00:04:03] 如果你们遇到这种题目，
[00:04:05] 一定要记住了，
[00:04:06] 东哥站在你身后，
[00:04:07] 像个大哥哥一样说，
[00:04:08] 如果你的标题当中不含有题干当中最重要的关键词的话，
[00:04:13] 你跑题的风险就非常大。
[00:04:14] 所以大家一定把它搞定，
[00:04:17] 行吗？
[00:04:17] 亲爱的同学们，
[00:04:19] 有的同学说老师这个各方参与呢，
[00:04:22] 各方参与它本质上也是围绕着软服务和硬设施，
[00:04:26] 说的也是围绕着。
[00:04:28] 社会治理去说的，
[00:04:29] 所以这个就不用再写在里边了，
[00:04:32] 我们的标题不可能把每个字都写进去，
[00:04:35] 你把最重要的写到答案里边去，
[00:04:38] 这个才是我们想看到的一个观点。
[00:04:41] 行吧，
[00:04:41] 那至于后面的这句话，
[00:04:43] 你可以把它写在总论点里面去，
[00:04:46] 把它进行一个补充好吗？
[00:04:48] 下面我们再给老师看一下这个题目，
[00:04:50] 我们给大家找到了一个总论点。
[00:04:53] 能不能给老师把分论点找出来？
[00:04:56] OK，
[00:04:57] 大家能不能把分论点给老师找出来？
[00:05:00] 分论点的话，
[00:05:01] 这个时候。
[00:05:02] 一个叫硬设施，
[00:05:04] 一个叫软服务，
[00:05:05] 这是一个a，
[00:05:06] 这是一个b，
[00:05:07] 这是一个c，
[00:05:09] 所以我问大家一下，
[00:05:10] 第一个分论点是不是要写a对c的影响？
[00:05:14] 我们是不是之前就给大家说过，
[00:05:17] 那么a对c的影响，
[00:05:19] 也就是硬设施对于社会治理很重要，
[00:05:22] 那么也可以说硬设施是完善社会治理的。
[00:05:25] 登山之所那么软服务，
[00:05:27] 是完善社会治理的。
[00:05:29] 循镜之徒当然有的同学呢，
[00:05:31] 如果想个性化的一下，
[00:05:33] 我再给大家写一个个性化的叫做坚实稳固的硬设施。
[00:05:38] 歼十。
[00:05:40] 稳固。
[00:05:43] 的。
[00:05:45] 硬设施。
[00:05:47] 坚实稳固的硬设施，
[00:05:49] 你看你就在硬设施前面呢，
[00:05:52] 给我加几个形容词，
[00:05:54] 就把它给我进行一个有。
[00:05:56] 文采的润色了下面，
[00:05:58] 它对于社会治理有什么好处呢？
[00:06:00] 我们可以有利于社会治理，
[00:06:03] 太土了，
[00:06:03] 把它稍微润色一下，
[00:06:05] 可以写。
[00:06:05] 助老。
[00:06:08] 社会治理治股。
[00:06:10] 社会治理。
[00:06:13] 是股当然，
[00:06:14] 你用我之前给你准备的一个。
[00:06:17] 分论点的润色的那100多种模板，
[00:06:19] 随便选一种也是可以的，
[00:06:21] 你还可以把它写成什么？
[00:06:23] 亲爱的同学们告诉我，
[00:06:24] 就是我。
[00:06:25] 叫做坚实稳固的硬设施，
[00:06:27] 是社会完善，
[00:06:28] 社会治理的登山之所，
[00:06:30] 也是没有问题的。
[00:06:31] 第二个你要写一下b对c的影响，
[00:06:34] 这里面里面的b叫做软服务。
[00:06:37] 那么也就是这个软服务，
[00:06:40] 我们可以前面再加一个形容词，
[00:06:43] 那就叫做细致。
[00:06:45] 入微。
[00:06:47] 的。
[00:06:48] 软俯卧那么它你前面是骨，
[00:06:52] 后面就是一个魂，
[00:06:54] 下面丰盈。
[00:06:57] 社会。
[00:07:00] 治理。
[00:07:02] 是混大家觉得可以不？
[00:07:04] 各位这两个我觉得每一个同学都能够把它写出来，
[00:07:08] 你不一定要和我一样，
[00:07:10] 我只是给大家做了一个个性化，
[00:07:12] 大家完全可以写成叫做硬设硬设施。
[00:07:15] 是实实实现呃社会呃是完善社会治理的登山之所软服务，
[00:07:20] 是完善社会治理的循境之途或者软服务，
[00:07:24] 是完善社会治理的开山之后都是可以的。
[00:07:28] 下面这个题目最难的有一点叫做第三个分论点，
[00:07:32] 你们觉得它应该写成什么？
[00:07:35] 有的同学说老师我知道第三个分论点哎，
[00:07:38] 你就告诉我们了，
[00:07:40] 要写成一个a+b的方式。
[00:07:42] 也就是我们要把硬设施还有一个软服务结合起来，
[00:07:47] 怎么办？
[00:07:48] 各位，
[00:07:48] 你觉得这样写可以吗？
[00:07:50] 各位，
[00:07:51] 如果你这样写的话，
[00:07:52] 我觉得其实也是可以的，
[00:07:54] 但是这个题目当中有一句非常重要的话，
[00:07:58] 大家直接看标题，
[00:07:59] 离不开参与各方的相互成就。
[00:08:02] 各位参与各方的相互成就，
[00:08:05] 我们这个时候一定要理解一下这个各方是怎么理解的？
[00:08:11] 有没有同学能够给老师想出来？
[00:08:14] 有的同学说老师这个各方，
[00:08:16] 它不就是应该是硬设施吗？
[00:08:18] 它不就是应该是一个软服务吗？
[00:08:21] 你们觉得是吗？
[00:08:22] 亲爱的同学们，
[00:08:23] 这个是我们想问一下大家的各位，
[00:08:26] 这个是一个各方各方，
[00:08:28] 他在这里边，
[00:08:29] 你仔细的读一下，
[00:08:31] 它并不是指的硬设施，
[00:08:32] 也不是指的一个软服务，
[00:08:35] 它是指的一个。
[00:08:36] 主体大家同意不？
[00:08:38] 也就是它是指的一个主体啊，
[00:08:40] 所以我们的第三个分论点，
[00:08:43] 你可以把它写成叫做。
[00:08:45] 怎么样？
[00:08:46] 你可以把叫做a+b，
[00:08:50] 然后呢？
[00:08:51] 离不开。
[00:08:53] 参与各方的相互成就，
[00:08:56] 一起融合起来也就可以了。
[00:09:00] 这样的话，
[00:09:01] 我们在考试的时候就绝对保险，
[00:09:03] 没有人能够说你是跑题了，
[00:09:05] 现在大家能够听清楚了吧？
[00:09:07] 好了哈，
[00:09:08] 我们给大家一起来琢磨一下，
[00:09:10] 刚才我们给大家。
[00:09:11] 找了一个三个分论点，
[00:09:13] 那么这三个分论点的话呢？
[00:09:15] 大家来看一下，
[00:09:16] 首先这个标题你能不能理解？
[00:09:19] 这个标题大家应该都能够理解吧，
[00:09:23] 那么接着这是一个a对c的好处，
[00:09:27] 接着这是一个a对b的好处，
[00:09:30] 那么下面如果题干当中没有。
[00:09:33] 这句话我们直接把这个写下来，
[00:09:37] 叫做要努力。
[00:09:39] 实现硬设施和软服务的完美的结合也就可以了，
[00:09:43] 这个和我们上节课给大家讲的理论创新，
[00:09:47] 那个题目是一模一样的，
[00:09:49] 大家能够听明白了吗？
[00:09:51] 那么但是这个题目，
[00:09:52] 它尾巴上多了一句话，
[00:09:54] 请问这句话为了不跑题，
[00:09:57] 我们要不要把它写在里边去？
[00:09:59] 要你就给老师呢，
[00:10:01] 一定要把它给我写进去，
[00:10:03] 你如果不写的话，
[00:10:04] 到时候你会比较崩盘的好吧，
[00:10:06] 所以一定把它写进去。
[00:10:08] 这个题目是最重要的OK，
[00:10:10] 我给大家说一下，
[00:10:12] 我给大家每一节课就会讲一种类型a与b，
[00:10:15] 到现在为止一共就考了这几种类型，
[00:10:18] 我希望大家把它给我保证。
[00:10:20] 那么，
[00:10:21] 你们在课前预习这道题的时候，
[00:10:23] 有没有同学分论点三个全部都搞定了？
