[00:00:00] 给大家放首歌。
[00:00:01] 放一首什么样的歌呢，
[00:00:04] 兄弟们？
[00:00:06] 大家稍等一下啊，
[00:00:08] 我给你们放首歌。
[00:00:10] 忠孝东路走九遍。
[00:00:16] 嗯。
[00:00:19] 我们的爱已经变得如此的美丽，
[00:00:20] 还有一样美丽。
[00:00:28] 我是你的爱。
[00:00:36] 这城市满地的积雪风一刮，
[00:00:40] 向你的。
[00:00:43] 我经过的那一间鞋店却买不到那那双鞋。
[00:00:51] 晃灯了，
[00:00:52] 让你看不见我泪的弹，
[00:00:56] 坐在路边。
[00:00:59] 看见一份爱有多无畏，
[00:01:03] 有什么可？
[00:01:05] 却又不见得每首歌曲都有我。
[00:01:14] 的泪眼能看见的，
[00:01:19] 每个昨天都有你的美。
[00:01:24] 嗯。
[00:01:29] 哦，
[00:01:29] 我从小到不懂秋天，
[00:01:33] 脚底下踏着曾经你我的点点。
[00:01:38] 我从日走到夜，
[00:01:40] 心从黑看到黑。
[00:01:42] 我多想飘向这里的伤心的台北，
[00:01:46] 从说梦里走秋天春风不。
[00:01:50] 我手原唱，
[00:01:51] 这是你的脸，
[00:01:53] 有人走得匆忙，
[00:01:55] 有人爱得疲惫，
[00:01:56] 谁会在意擦肩而过的心碎。
[00:02:01] 嗯。
[00:02:03] 啊。
[00:02:07] 啊。
[00:02:11] 让我们一起飞翔，
[00:02:16] 一起飞翔。
[00:02:24] 这只是满地的纸屑，
[00:02:28] 空你的想你的眼泪，
[00:02:32] 我经过。
[00:02:33] 那一天鞋店却买不到你爱用的双鞋。
[00:02:40] 荒唐的人没看过，
[00:02:43] 却流过泪的，
[00:02:45] 专注的，
[00:02:47] 无言。
[00:02:48] 是你的爱。
[00:02:50] 会不会有什么感觉？
[00:02:57] 而真的每一首歌曲都有我的美。
[00:03:05] 眼看见的每个昨天都有你的美。
[00:03:12] 我多想能入口就别。
[00:03:20] 想一下那个曾经。
[00:03:22] 你我的点点滴滴，
[00:03:24] 我从日走到夜，
[00:03:26] 心中会跳。
[00:03:27] 嘿，
[00:03:28] 我多想跳上这一次爱伤心的太累。
[00:03:32] 不说都不错。
[00:03:33] 从夜人一转，
[00:03:35] 陌生人藏找寻你的脸。
[00:03:39] 有人走得匆忙。
[00:03:42] 有人爱的甜美，
[00:03:43] 谁会在意他偷了我的心碎。
[00:03:48] 啊啊啊。
[00:03:51] 到终点，
[00:03:52] 脚底下的。
[00:04:03] 啦啦啦。
[00:04:07] 啦啦啦。
