[00:00:00] 看回放的同学呢，
[00:00:01] 往后播个八分钟也就可以看回放的同学，
[00:00:05] 往后播个八分钟啊。
[00:00:07] 好久不见了，
[00:00:08] 还挺想念大家的啊，
[00:00:09] 也不知道你们想不想念我，
[00:00:12] 反正呢，
[00:00:12] 东哥是比较想念大家的小爱同学嗯。
[00:00:16] 播放那个呃周杰伦花海。
[00:00:21] 好的，
[00:00:21] 小爱想陪你一起听素颜歌曲。
[00:00:25] 我们的花海。
[00:00:44] 停止了。
[00:00:52] 所有的花开都有了我清晰的爱。
[00:01:01] 老师好，
[00:01:03] 你好。
[00:01:04] 爱绝对是隐患。
[00:01:08] 那时候我不懂，
[00:01:12] 这叫爱你喜欢站在那窗。
[00:01:19] 想在你好久都没再来。
[00:01:27] 彩色的世界燃烧，
[00:01:32] 我爱是你让人泪，
[00:01:37] 离不开不要。
[00:01:40] 你离开距离，
[00:01:43] 隔不开思念，
[00:01:46] 变走了在窗外进不来。
[00:01:51] 原谅说太快爱成了阻碍。
[00:01:59] 手中的风筝放太快，
[00:02:03] 回不来，
[00:02:05] 不要你离开，
[00:02:08] 回忆划不？
[00:02:10] 爱轻易的从来我再等待重来。
[00:02:18] 天空人在他爱着，
[00:02:22] 大海情歌被打败，
[00:02:27] 爱已不存在。
[00:02:55] 你喜欢站在那窗台。
[00:03:03] 你好久都没再来。
[00:03:10] 彩色的世界仍像空白，
[00:03:16] 彻底让它泪流干。
[00:03:21] 不要你离开距离，
[00:03:25] 隔不开思念变成海在窗外进不来。
[00:03:34] 原谅说太快爱成了阻碍。
[00:03:41] 手中的风筝放太快，
[00:03:46] 回不来，
[00:03:47] 不要你离开。
[00:03:50] 回忆划不开，
[00:03:53] 坚定的重来，
[00:03:56] 我在等待重来。
[00:03:59] 你永动人才怪。
[00:04:03] 答，
[00:04:03] 爱的答案情歌被打败。
[00:04:10] 爱已不可再爱。
[00:04:18] 啊啊啊。
[00:04:22] 啊。
[00:04:30] 嗯。
[00:04:32] 小爱同学播放我的纸飞机。
[00:04:41] 好啊，
[00:04:42] 请听我的纸飞机试听版，
[00:04:44] 手机打开小米音箱，
[00:04:46] 看开通音乐会，
[00:04:47] 抖音跟你们同步抽摇摇乐的啊，
[00:04:51] 你们可以去抽一下。
[00:04:55] 我的纸飞机呀飞呀飞飞到了路两边。
[00:05:03] 带我去看老树晚霞，
[00:05:06] 还有看不到的田野，
[00:05:10] 我的纸飞机啊，
[00:05:12] 飞呀飞飞到。
[00:05:15] 我的童年，
[00:05:16] 那时的母亲还没长出白发，
[00:05:20] 人群中如此耀眼。
[00:05:23] 飞呀飞呀飞呀，
[00:05:26] 带你我去看看你，
[00:05:29] 我的家乡飞呀飞呀飞呀飞呀。
[00:05:34] 再开始吧，
[00:05:35] 再让我们一起长大。
[00:05:39] 啊呜，
[00:05:40] 就让你质疑我前方的路，
[00:05:47] 呜呜呜。
[00:05:50] 我做了一个梦，
[00:05:51] 在梦里回到小时候，
[00:05:53] 那时感受不到什么都懂，
[00:05:55] 要天真才有的持有，
[00:05:57] 我屁股跑去校外一个门口跟在讲着同样的歌谣，
[00:06:02] 我其实在想。
[00:06:03] 小鬼，
[00:06:03] 那个池塘边的老水就盯着我的小灵童没写完作业，
[00:06:07] 他开住了嘴，
[00:06:08] 老爷看着他的小蜜蜂揉捏着火烧的叶，
[00:06:11] 结了灰依偎着那自己那个冬天的温暖如此渺小，
[00:06:15] 我的老脸能够推开你释放。
[00:06:17] 发现已经花了钱，
[00:06:19] 至少还真的存在也回不去的老照片。
[00:06:24] 我不知飞呀飞呀飞飞到了孤岛边。
[00:06:32] 带我去看老树晚霞，
[00:06:36] 又看花花的田野，
[00:06:39] 我的心花飞呀飞呀飞呀飞。
[00:06:44] 那年那时的母亲还没长出白发，
[00:06:50] 人生中的草原。
[00:06:53] 飞呀飞呀飞呀飞呀，
[00:06:56] 带你我去看看我的家乡飞呀飞呀飞呀飞呀。
[00:07:03] 再慢些吧，
[00:07:04] 再让我们一起长大。
