[00:00:00] 还是给大家试试这个手写笔好吧？
[00:00:03] 小爱同学在播放七里香。
[00:00:08] 好呀，
[00:00:09] 想爱和你一起欣赏音乐会员，
[00:00:12] 尊享歌曲周杰伦的七里香。
[00:00:16] 啊。
[00:00:32] 窗外的麻雀在电线杆上多嘴，
[00:00:42] 你说这一句。
[00:00:47] 很有夏天的感觉，
[00:00:50] 手中的铅笔在纸上来来回回，
[00:00:57] 我用尽最。
[00:00:59] 形容你是我的谁，
[00:01:03] 就爱你的滋味，
[00:01:06] 那遍你我不想了解你初恋的香味。
[00:01:13] 就这样，
[00:01:14] 被荒凉人寻味，
[00:01:17] 那温暖的夜阳花香，
[00:01:21] 两天月藏在你手一笑，
[00:01:25] 我的真。
[00:01:26] 代表着一种感觉，
[00:01:31] 你身边的我。
[00:01:34] 爱你就像江山年少，
[00:01:37] 原子落叶伴着我的思念，
[00:01:42] 厚厚一叠几句承诺。
[00:01:46] 也无法将我的热情冷却你出现在我诗的每一页去身边。
[00:01:59] 我的爱溢出就像雨水，
[00:02:04] 窗台，
[00:02:05] 蝴蝶。
[00:02:06] 相信你给的美丽照片，
[00:02:10] 我牵着手，
[00:02:12] 你的永远爱你是天生的，
[00:02:17] 绝对一生我唯一。
[00:02:20] 逍遥的眼泪。
[00:02:40] 哈哈哈。
[00:02:48] 你相对我的爱溢出就像雨水。
[00:02:58] 你走了，
[00:03:00] 我的思念厚厚一叠，
[00:03:04] 几句是非难过才叫我的热情燃烧。
[00:03:12] 你出现在我诗的每一页，
[00:03:18] 忘了我们的大声。
[00:03:22] 进不了这个季节，
[00:03:26] 而你的脸颊像田里熟透的蕃茄你。
[00:03:33] 音乐。
[00:03:34] 我说情已相认一，
[00:03:38] 此刻却只想亲吻你，
[00:03:43] 却找不出与相见。
[00:03:47] 我的爱溢出就像雨水院子落叶。
[00:03:54] 我觉得。
[00:04:07] 爱我是我的妹妹，
[00:04:12] 求你给我的爱。
[00:04:16] 一出就像雨水，
[00:04:19] 穿透了像是你完美的美丽，
[00:04:26] 就这样重现。
[00:04:29] 永远爱你，
[00:04:30] 写进诗的结尾，
[00:04:33] 当你守护唯一想要的了解。
[00:04:37] 啊。
[00:04:39] 啊。
[00:04:41] 嗯。
[00:04:56] 啊。
[00:05:23] 等你。
[00:05:26] 关于你好的坏的都已经听说，
[00:05:31] 愿意实现的是我。
[00:05:34] 没有确定的，
[00:05:36] 以后没有谁祝福我，
[00:05:40] 反而想要勇敢接受，
[00:05:44] 爱到哪里都会有人犯罪。
[00:05:48] 希望错的不是我。
[00:05:51] 其实心中没有退路可守，
[00:05:55] 跟着你走，
[00:05:57] 跟着你走，
[00:05:59] 我们的故事还有。
[00:06:02] 的结果也多的值得，
[00:06:05] 还有半天不够，
[00:06:07] 一夜没有结果。
[00:06:09] 不用你说，
[00:06:11] 我没了承诺，
[00:06:12] 我可以对自己承诺，
[00:06:15] 我们的故事爱就爱到值得。
[00:06:19] 错也错的值得。
[00:06:24] 小爱同学暂停。
[00:06:33] 好了，
[00:06:33] 所有的同学们，
[00:06:34] 你们知不知道刚才那首歌叫什么名字啊？
[00:06:37] 我们的故事爱就爱的值得，
[00:06:40] 错也错的值得，
[00:06:41] 这是这个原因啊。
[00:06:42] 我们的故事爱就爱到值得错也错的值得，
[00:06:47] 你看我这个弯儿多牛逼啊，
[00:06:50] 我靠。
[00:06:51] 我有的时候觉得，
[00:06:52] 哎呀，
[00:06:52] 老天爷，
[00:06:53] 我要不是教申论的话，
[00:06:55] 我要是唱歌的话，
[00:06:56] 哎呀，
[00:06:57] 那我这个歌声的销量得卖多少钱啊，
[00:07:00] 同学们？
[00:07:00] 是吧，
[00:07:01] 好了，
[00:07:01] 大家都是哪个城市的？
[00:07:03] 可以把你们的家乡的名字强调评论区来告诉我一下，
[00:07:07] 你们是哪个城市的好吧？
[00:07:09] 看看大家是哪个城市的各位，
[00:07:11] 我们今天的话呢，
[00:07:12] 给大家要讲的是大指纹的理论的最后一节课叫大指纹的结尾。
[00:07:18] 你们觉得大水分的结尾难还是不难？
[00:07:21] 然后呢？
[00:07:21] 我们带着大家来看一个题目，
[00:07:24] 大家知道难和不难了。
[00:07:26] 好了，
[00:07:26] 我现在问大家一下，
[00:07:28] 如果在我们考试的时候。
[00:07:30] 这个是我们大作文的开头，
[00:07:32] 我们如果想写一个议论文的结尾的话，
[00:07:36] 你们觉得它如果符合四个字的话，
[00:07:39] 这四个字大概率是哪四个字？
[00:07:41] 同学们一起打开评论区结尾和开头，
[00:07:45] 最好要实现首尾呼应，
[00:07:47] 大家把首尾呼应给老师打开评论区。
[00:07:51] 首尾呼应，
[00:07:52] 这是非常重要的，
[00:07:53] 就是我们中国人啊，
[00:07:55] 往往讲佛道轮回，
[00:07:56] 你如果能够让你的结尾和你的开头呢，
[00:07:59] 实现一个首尾呼应，
[00:08:00] 当然就是一个很牛逼的事情了。
[00:08:03] 所以我们这节课先给大家教一个个性化的写作的方式，
[00:08:07] 带着大家写一个个性化的结尾，
[00:08:10] 那如果你想做到一个首尾呼应的话。
[00:08:13] 大家还是要把开头进行一个切分好了，
[00:08:16] 我问大家下治国有常而利民为本，
[00:08:20] 它在我们考试的时候属于写作的哪一个技巧？
[00:08:25] 哪位同学可以告诉我，
[00:08:26] 治国有常而利民为本，
[00:08:28] 是不是涉及到名言警句啊？
[00:08:30] 好，
[00:08:31] 那我们就把这个名言警句写到这个地方。
[00:08:34] 这个名言警句有治国，
[00:08:36] 有常而利民为本，
[00:08:38] 这是指的哪一个领域的名言警句？
[00:08:42] 哪位同学可以告诉我是不是指的民生领域啊？
[00:08:46] 民生领域的民言警句呢？
[00:08:48] 大家只要打卡的话。
[00:08:49] 取就是你们考试可能考到所有领域的民间景区，
[00:08:53] 我都给你准备好了，
[00:08:54] 到时候你可以统一领取啊，
[00:08:56] 大家一定坚持打卡。
[00:08:57] 名言警句，
[00:08:58] 大家看治国有常而利民为本，
[00:09:01] 它涉及到民生领域，
[00:09:03] 那我就想到一个。
[00:09:05] 名言警句。
[00:09:06] 民为。
[00:09:09] 邦百。
[00:09:11] 还有本固。
[00:09:14] 邦宁一起把它搞下来，
[00:09:16] 你看这个就是我们的名言警句，
[00:09:19] 各位民为邦本本固邦宁，
[00:09:21] 请问大家下，
[00:09:23] 你觉得可以呼应吗？
[00:09:24] 可以和？
[00:09:25] 治国有常，
[00:09:26] 利民为本。
[00:09:27] 呼应吧，
[00:09:27] 是可以的吧？
[00:09:28] 那如果在考试的时候，
[00:09:30] 我万一这两个名言警句倒过来，
[00:09:33] 大家觉得。
[00:09:34] 能不能得分，
[00:09:35] 依然可以得分，
[00:09:36] 而且依然能够得可以得高分，
[00:09:38] 第二个大家再给老师看一下。
[00:09:41] 无论是保障灵活就业群体，
[00:09:43] 安心就业还是保障疫情期间群众生活物资，
[00:09:47] 都展现了国家对社会保障的重视。
[00:09:50] 请问大家下这句话，
[00:09:52] 它是在说一个什么要素？
[00:09:55] 哪位同学能够告诉我，
[00:09:57] 无论是保障。
[00:09:58] 灵活就业群体，
[00:09:59] 安心就业还是保障疫情期间群众生活物资都展现了国家对于社会保障的重视。
[00:10:06] 是不是主要是在说社会保障的影响啊，
[00:10:10] 或者社会保障的重要性啊，
[00:10:12] 所以大家第二个如果我在结尾的话，
[00:10:15] 我想写一个影响。
[00:10:17] 或者是重要性好了，
[00:10:19] 这个影响重要性写的时候脑袋空白，
[00:10:22] 你如果想把它写出来的话，
[00:10:25] 你应该想写哪个词？
[00:10:26] 的影响，
[00:10:27] 请问大家一下要写哪个词的影响？
[00:10:30] 是不是要写社会保障的影响？
[00:10:33] 所以大家一起写。
[00:10:34] 社会保障。
[00:10:36] OK，
[00:10:36] 请问一下，
[00:10:37] 我所有的同学们，
[00:10:39] 我要写社会保障，
[00:10:41] 写影响的话，
[00:10:42] 我没有话说了，
[00:10:43] 你没有话说，
[00:10:45] 一定要想到。
[00:10:46] 对谁有影响？
[00:10:47] 大家把对谁主体分析敲在评论区，
[00:10:50] 这个主体分析在你写个性化的影响的时候是非常好用的一种方式。
[00:10:57] 对谁呢？
[00:10:57] 那当然是对于国家有影响，
[00:11:00] 对于国家有什么影响呢？
[00:11:02] 社会保障是治国安邦的大问题。
[00:11:05] 一起把它写下来，
[00:11:07] 是治国。
[00:11:09] 安邦。
[00:11:12] 的大问题哎，
[00:11:13] 我就可以把它搞定了，
[00:11:15] 你看这样我就做了一个呼应好了，
[00:11:19] 大家再来看一下下面一句话。
[00:11:22] 社会保障是人民群众最关心，
[00:11:25] 最直接，
[00:11:25] 最现实的利益问题，
[00:11:27] 事关国家发展，
[00:11:29] 人民幸福。
[00:11:30] 请问这句话是在说哪一个要素？
[00:11:33] 有没有同学能够告诉我，
[00:11:35] 社会保障是人民最关心，
[00:11:37] 最直接，
[00:11:37] 最现实的问题，
[00:11:39] 事关国家发展，
[00:11:40] 人民幸福。
[00:11:41] 是不是又再说一个影响啊？
[00:11:43] 就是来了一个加强，
[00:11:45] 那么这个影响，
[00:11:46] 请问大家一下，
[00:11:48] 如果对于我们来讲的话。
[00:11:50] 我们就是要写什么？
[00:11:51] 还是要写社会保障吗？
[00:11:53] 但是为了重复，
[00:11:54] 为了防止重复，
[00:11:55] 我可以稍微的把它变换一下，
[00:11:58] 我就直接写。
[00:11:59] 后面，
[00:11:59] 致密社会保障网稍微提提前一下致密。
[00:12:05] 社会。
[00:12:07] 保障网一起把它搞定。
[00:12:10] 致密社会保障网。
[00:12:12] OK，
[00:12:13] 请问大家一下，
[00:12:14] 致密社会保障网，
[00:12:16] 它有什么好处？
[00:12:18] 各位，
[00:12:18] 这个时候你要谈影响的话。
[00:12:21] 你不会写的话，
[00:12:22] 记住东哥的话，
[00:12:24] 一招就是对谁有影响，
[00:12:25] 用主体分析第二招，
[00:12:27] 大家一起打，
[00:12:28] 在评论区叫关键词。
[00:12:30] 大家把关键词给老师拿出来，
[00:12:32] 哎呀，
[00:12:32] 这个时候我可以从题干当中找灵感，
[00:12:35] 题干当中不就是对于医疗有影响吗？
[00:12:38] 就业有影响吗？
[00:12:39] 养老有影响吗？
[00:12:40] 那我就直接用这几个关键词也就可以了。
[00:12:43] 其实这几个关键词本质上也是对于群众这个主体有影响。
[00:12:48] 致密社会保障网，
[00:12:50] 大家一起写可以。
[00:12:52] 让医疗。
[00:12:56] 惠及群众。
[00:12:59] 会结。
[00:13:00] 群众。
[00:13:04] 就业。
[00:13:06] 就业怎么样稳中向好？
[00:13:08] 你看我写文章，
[00:13:10] 我喜欢用四个字的词。
[00:13:13] 作用这样的话呢，
[00:13:15] 显得就比较稳重，
[00:13:18] 养老托举幸福。
[00:13:20] 养老托举。
[00:13:25] 幸福哎，
[00:13:26] 一看我就把它写下来了，
[00:13:28] 好了，
[00:13:29] 同学们写完了这个之后，
[00:13:31] 请问大家一下第四句话。
[00:13:34] 我问大家一下，
[00:13:35] 你看他是在写什么第四句话，
[00:13:37] 我反复给大家说过，
[00:13:39] 一般要写什么第四句话，
[00:13:41] 一般要写总论点吧。
[00:13:43] 大家同意吗？
[00:13:44] 这个总论点大家来看一下，
[00:13:46] 它是由什么组成的？
[00:13:48] 是不是就是由对策？
[00:13:49] 还有一个影响组成的，
[00:13:51] 它就相当于标题一样。
[00:13:53] 我就把最后一句话稍微改写一下也就可以了，
[00:13:57] 怎么改写大家直接写？
[00:13:58] 就说总论点。
[00:14:01] 它就等于对策，
[00:14:02] 再加上一个影响，
[00:14:03] 那么我可以先增加一点句子，
[00:14:06] 增加一点句子，
[00:14:07] 可以加个名言警句，
[00:14:09] 也可以加个废话，
[00:14:11] 我可以加一个连词废话。
[00:14:13] 大家一起写，
[00:14:14] 为此。
[00:14:15] 要怎么样尽力而为？
[00:14:20] 尽力而为。
[00:14:22] 好了，
[00:14:23] 你让我知密社会保障网，
[00:14:25] 我换一个表述，
[00:14:26] 不要直接摘抄，
