[00:00:00] 公平。
[00:00:01] 的回忆。
[00:00:04] 你床边的卷起头发残酷，
[00:00:10] 那说明。
[00:00:12] 缠绵的爱比不上遗失的高兴。
[00:00:18] 耶耶耶。
[00:00:20] 你的多情出卖我的爱情，
[00:00:25] 给了我的命运，
[00:00:28] 我埋了一个世界，
[00:00:31] 却换来灰烬。
[00:00:34] 哦，
[00:00:34] 你的绝情出卖所有爱情好梦，
[00:00:42] 一下子清醒。
[00:00:45] 感情像个闹钟，
[00:00:47] 按一下。
[00:00:50] 就停。
[00:01:07] 那么多年的遗忘形闭起了眼睛。
[00:01:14] 还以为落进一块安稳的水晶。
[00:01:22] 你窗边的陌生眼底，
[00:01:26] 残酷的说明内心的爱比不上胸膛的温馨。
[00:01:35] 啊啊。
[00:01:40] 你的多情出卖我的爱情，
[00:01:46] 赔了我的命，
[00:01:48] 我卖了。
[00:01:50] 这一个世界却换来灰气。
[00:01:55] 哦，
[00:01:56] 你的绝情出卖所有爱情好梦，
[00:02:02] 一下子清醒。
[00:02:05] 感情像个闹钟，
[00:02:09] 按一下就停。
[00:02:12] 你的多情收买我的爱情，
[00:02:17] 给了我的命，
[00:02:20] 我买了。
[00:02:21] 一个世界却换来灰烬哦哦。
[00:02:28] 你的绝情出卖，
[00:02:31] 让所有爱情好梦一下子清醒。
[00:02:36] 爱情像个闹钟，
[00:02:39] 按一下。
[00:02:53] 想着我最思念的人，
[00:02:58] 举起又放下的酒啊。
[00:03:04] 就像我最亲爱的人，
[00:03:08] 每一个安宁的夜晚。
[00:03:12] 想着我最思念的人，
[00:03:15] 一个多情又无情的人呐，
[00:03:19] 就像手心里握不住的沙。
[00:03:23] 喝下了最烈的酒。
[00:03:27] 随便吧，
[00:03:28] 就浪迹天涯，
[00:03:30] 一个多情又无情的人啊。
[00:03:35] 就像昨年月镜子里的花喝下了最烈的酒，
[00:03:43] 随便吧，
[00:03:44] 随便吧。
[00:03:46] 啊。
[00:03:50] 谁让我爱上了你，
[00:03:54] 谁让我对她有温馨，
[00:03:58] 一次次原谅着你的不忠，
[00:04:02] 一次。
[00:04:03] 自卑难过自己。
[00:04:06] 难过了，
[00:04:07] 伤以后就独自流泪，
[00:04:11] 醒来以后倒头无说。
[00:04:16] 一个多情又无情的人呐。
[00:04:20] 就像手心里握不住的沙。
[00:04:24] 喝下这凄烈的酒。
[00:04:27] 就浪迹天涯，
[00:04:29] 一个多情又无情的人呐，
[00:04:34] 就像天边月镜子里的花。
[00:04:39] 喝下的最烈的酒，
[00:04:43] 随便吧，
[00:04:44] 就随便吧。
[00:04:46] 一个多情又无情的人呐，
[00:04:51] 今生手心并不住想你。
[00:04:54] 喝下了最烈的酒。
[00:05:07] 啦啦啦。
[00:05:09] 想着我最思念的人，
[00:05:14] 举起又放下了酒啊。
[00:05:18] 就像我最亲爱的人，
[00:05:22] 每一个难眠的夜晚。
[00:05:26] 想着我最思念的人，
[00:05:30] 一个多情又无情的人啊。
[00:05:34] 就像手心里握不住的沙。
[00:05:37] 喝下这最烈的酒，
[00:05:40] 随便吧，
[00:05:42] 就浪迹天涯，
[00:05:44] 一个多情又无情的人啊。
[00:05:49] 就像天边月镜子里的花，
[00:05:54] 喝下了最烈的酒，
[00:05:57] 随便放，
[00:05:59] 随便放。
[00:06:00] 啊。
[00:06:02] 谁让我爱上了你。
[00:06:09] 谁让我没那样狠心，
[00:06:13] 一次次原谅着你的过错，
[00:06:17] 一次次为难我自己。
