[00:00:00] 痛苦痛苦的哀愁，
[00:00:02] 冬天曾经走过风来更寂寞，
[00:00:07] 我们能留下的其实都。
[00:00:11] 没有没有，
[00:00:12] 我有特别沧桑的姑娘，
[00:00:16] 就让我等太久。
[00:00:18] 假装我很痛。
[00:00:22] 其实我真的很怀旧。
[00:00:26] 而且也很痛。
[00:00:44] 小爱同学播放囚鸟。
[00:00:53] 好的，
[00:00:54] 小爱想陪你一起听不言歌曲，
[00:00:58] 彭羚的囚鸟。
[00:01:30] 我是被你囚禁的鸟，
[00:01:35] 已经忘了天。
[00:01:39] 嗯。
[00:01:40] 如果离开你给我的小小城堡，
[00:01:46] 不知还有谁能依靠？
[00:01:49] 我是被你囚禁的鸟，
[00:01:54] 得到的爱。
[00:01:57] 远看着你的笑，
[00:02:00] 在别人的眼中燃烧，
[00:02:03] 我却要不到一个。
[00:02:07] 我像是一个你我有可无的影子。
[00:02:32] 燕子在寂寞，
[00:02:34] 交换着悲伤的心事，
[00:02:38] 来不及流醒。
[00:02:40] 谁的泪滴滴滴。
[00:02:43] 眼泪是唯一的剩下。
[00:03:12] 我是被你囚禁的鸟小爱同学播放漂洋过海来看你。
[00:03:24] 好呀，
[00:03:24] 想爱和你一起欣赏音乐会员，
[00:03:27] 分享歌曲孙露的漂洋过海来看你。
[00:03:40] 嗯。
[00:03:53] 为你我用了半年的积蓄，
[00:03:57] 漂洋过海的来看你。
[00:04:00] 为了这次相聚未见面时的呼吸，
[00:04:06] 都曾反复练习。
[00:04:08] 言语从来没能将我的情意表达千万分之一。
[00:04:17] 为了这个遗憾，
[00:04:20] 我在夜里想了又想不该睡去。
[00:04:25] 记忆它总是慢慢的累积，
[00:04:30] 在我心中无法抹去。
[00:04:33] 为了你的承诺，
[00:04:36] 我在最绝望的时候都忍住不哭泣。
[00:04:43] 陌生的城市啊。
[00:04:48] 熟悉的角落里。
[00:04:52] 也曾彼此安慰，
[00:04:54] 也曾相拥叹息，
[00:04:56] 不管将面对什么样的结局。
[00:05:00] 在漫天风沙里，
[00:05:02] 望着你远去，
[00:05:04] 我竟悲伤得不能自己。
[00:05:08] 多盼望送君千里，
[00:05:10] 直到山东抖音同步给你们抽摇摇乐和答题卡的啊，
[00:05:14] 如果大家需要摇摇乐答题卡，
[00:05:16] 你就直接在抖音上同步抽一下好吧？
[00:05:21] 哎，
[00:05:21] 很多同学说抽了我20个摇摇乐，
[00:05:24] 20多个答题卡。
[00:05:25] 哎呀，
[00:05:26] 我想想这也不少钱啊，
[00:05:28] 兄弟们，
[00:05:29] 反正呢，
[00:05:29] 你你你想抽你就抽吧。
[00:05:33] 小爱同学暂停。
[00:05:39] 小爱同学暂停别唱了好吗？
[00:05:44] 然后呢？
[00:05:44] 我要讲话了，
[00:05:45] 你还在唱，
[00:05:46] 一点都没有情商，
[00:05:48] 你跟长沙那个女公务员去霸占别人的车位一样，
[00:05:52] 这是我的时间了it's my time。
[00:05:54] it's not your time,
[00:05:56] please,
[00:05:57] okay?
[00:05:57] 啊，
[00:05:57] 同学们，
[00:05:58] 我给大家说一下啊，
[00:06:00] 就是那个申论的批改的话呢，
[00:06:02] 我看了一下，
[00:06:03] 我觉得呢，
[00:06:04] 这个算法呢，
[00:06:05] 还不够好。
[00:06:06] 就说因为你们的批改呢，
[00:06:07] 我都看了，
[00:06:08] 我想给大家呢，
[00:06:09] 再把算法再升级一下。
[00:06:11] 下周的话呢，
[00:06:12] 再给大家呢升级一下，
[00:06:13] 你再重新再批改一下，
[00:06:15] 大家觉得行吗？
[00:06:16] 就现在这个批改的话呢，
[00:06:18] 我觉得获得感还没有那么强啊，
[00:06:20] 我再给大家再升级一下。
[00:06:22] 你们稍等一下行不行？
[00:06:24] 然后呢？
[00:06:24] 你们现在写完了东西呢？
[00:06:26] 不要扔呃，
[00:06:27] 留着下周的话呢，
[00:06:28] 再进行一个扫描也就可以了。
[00:06:31] 行吧，
[00:06:31] 因为我一直重视大家的反馈，
[00:06:33] 因为大指纹的话呢，
[00:06:35] 我之前就给大家说了，
[00:06:36] 他写作的可能性实在是太多了。
[00:06:38] 所以这种东西呢，
[00:06:40] 我还是把算法再升级一下，
[00:06:42] 就是能够结合你们本身写的文章，
[00:06:46] 把你们在你们本身写的文章上就是进行一个优化。
[00:06:50] 就是进行一个个性化，
[00:06:52] 大家觉得可以不就是而不是在我给你的范文的基础上进行一个优化，
[00:06:58] 而是要在你本身的基础上能够逐字逐句给你批改。
[00:07:01] 它和小题呢呃批改算法不完全一样，
