[00:00:00] 他对你说，
[00:00:02] 你什么都知道，
[00:00:05] 这一种感觉，
[00:00:08] 你舍得给你。
[00:00:11] 我的爱溢出就像雨水院子落叶，
[00:00:17] 跟我的思念厚厚一叠，
[00:00:22] 几句是非也不。
[00:00:25] 发现我的热情冷却，
[00:00:29] 你出现在我诗的每一页雨下整夜。
[00:00:37] 我的爱溢出就像雨水窗台，
[00:00:43] 明月夜想是你分别的每一章节，
[00:00:49] 我却在写。
[00:00:51] 的永远爱你是天使的结尾，
[00:00:57] 你是我唯一想要的结。
[00:01:05] 啊。
[00:01:20] 啊。
[00:01:25] 雨下的大雨，
[00:01:29] 我的爱溢出就像雨水。
[00:01:36] 的滋味有个我的思念，
[00:01:41] 我愿意结局是非。
[00:01:45] 也无法将我的热情冷却你出现在我诗的每一页。
[00:01:56] 那慢慢的打碎幸福的这个季节和你的脸颊像田里熟透的番茄。
[00:02:10] 你的人都说请你相爱，
[00:02:15] 如此刻却只想亲吻你倔强的。
[00:02:21] 在雨下整夜，
[00:02:24] 我的爱溢出就像雨水。
[00:02:30] 天天的夜，
[00:02:32] 留给我的思念厚厚一叠，
[00:02:37] 几句是非也无法将我的热情冷却。
[00:02:44] 你出现在我诗的每一页，
[00:02:49] 这片片片我的爱溢出就像雨水。
[00:02:57] 像太平天，
[00:02:59] 我像是灵魂被的美丽照片。
[00:03:04] 从前那永远爱你，
[00:03:08] 写进诗的结尾，
[00:03:11] 你是我唯一想要的结。
[00:03:16] 嗯。
[00:03:17] 嗯。
[00:03:32] 啊。
[00:03:42] 同学们。
[00:03:43] 为了鼓励你们来的话呢，
[00:03:45] 抖音同步给你们出那个答题卡和摇摇乐的啊，
[00:03:49] 希望你能够抽到很多同学，
[00:03:51] 抽了我20多个答题卡了，
[00:03:53] 我的妈呀。
[00:03:54] 反正大家就跟着学吧，
[00:03:57] 好吧？
[00:03:57] 如果你自己已经解决了摇摇乐和答题卡，
[00:04:00] 可以不用再抽了。
[00:04:06] 看过关里好多颜色，
[00:04:10] 小爱同学，
[00:04:12] 我在。
[00:04:13] 播放。
[00:04:16] 平凡的世界里的挣扎。
[00:04:22] 小爱同学播放化身孤岛的鲸。
