[00:00:00] 对呀。
[00:00:03] 你独自站在街角。
[00:00:09] 脸上的伤还没消。
[00:00:13] 你哭着对我微笑，
[00:00:17] 这画面像一把刀。
[00:00:22] 我跪着想听祈祷，
[00:00:25] 给我勇气面对一切好不好？
[00:00:30] 我却默默的让你转身走掉，
[00:00:35] 走过你一直已不在这。
[00:00:39] 放手去爱，
[00:00:41] 不要逃。
[00:00:43] 爱不是想要得到就能得到，
[00:00:48] 谁赢谁输，
[00:00:50] 你不再重要。
[00:00:53] 能痛痛快快一场就好，
[00:00:58] 放手去爱，
[00:01:00] 不要逃。
[00:01:01] 一辈子能拥起自己，
[00:01:05] 会寻找有多少辛苦值得去炫耀。
[00:01:11] 能看你一生幸福养老，
[00:01:15] 这样就好。
[00:01:17] 啊。
[00:01:24] 哈哈哈。
[00:01:28] 啊。
[00:01:38] 跪着向天祈祷，
[00:01:41] 给我勇气，
[00:01:43] 面对一切好不好？
[00:01:46] 无权懦弱的让你转身走掉。
[00:01:51] 错过你已已不再重要，
[00:01:55] 放手去爱，
[00:01:58] 不让他。
[00:01:59] 爱不是想要得到，
[00:02:02] 终能得到。
[00:02:03] 谁赢谁输已不再重要。
[00:02:08] 能痛痛快快一生就好，
[00:02:13] 放手去爱，
[00:02:15] 不要逃。
[00:02:17] 一辈子能有几次机会寻找？
[00:02:22] 有多少辛苦值得去炫耀，
[00:02:26] 能看你一生幸福到老。
[00:02:30] 这样就好。
[00:02:33] 放手去爱，
[00:02:36] 不要逃爱，
[00:02:38] 不是想要得到终能得到，
[00:02:44] 谁赢谁输。
[00:02:46] 已不再重要。
[00:02:48] 能痛痛快快一张就够放手去爱，
[00:02:55] 不要。
[00:02:57] 一辈子都要记自己的寻常。
[00:03:01] 天的小幸福，
[00:03:04] 值得去炫耀。
[00:03:06] 能看你一生幸福到老，
[00:03:11] 这样就好。
[00:03:14] 啊。
[00:03:20] 啊啊啊。
[00:03:30] 啊。
[00:03:35] 啊。
[00:03:52] 嗯。
[00:03:54] 你独自站在街角。
[00:04:00] 脸上的伤还没伤。
[00:04:04] 你哭着对我微笑。
[00:04:09] 这画的像一把刀，
[00:04:13] 我跪着想听祈祷。
[00:04:17] 我勇气面对一切好不好？
[00:04:22] 我却默默的让你转身走掉。
[00:04:26] 如果你已经已不再重要，
[00:04:31] 放手去爱，
[00:04:33] 不要逃。
[00:04:34] 爱不是想要得到就不能得不到。
[00:04:39] 谁赢谁输已不再重要，
[00:04:43] 能痛痛快快一战就好。
[00:04:48] 放手去爱。
[00:04:50] 不要逃一辈子，
[00:04:53] 能了解自己，
[00:04:55] 会寻找有多少辛苦值得去炫耀。
[00:05:01] 能看你一生幸福到老，
[00:05:06] 这样就好。
[00:05:08] 啊。
[00:05:13] 啊。
[00:05:15] 啊。
[00:05:24] 同学们，
[00:05:25] 我再给大家说一下，
[00:05:27] 大家就是直接抖音的话呢，
[00:05:29] 同步给大家抽这个摇摇乐和答题卡的，
[00:05:32] 如果你还需要摇摇乐答题卡的话呢，
[00:05:35] 就直接在抖音抽啊。
[00:05:37] 为了鼓励你们听课，
[00:05:38] 我也不知道用什么办法了，
[00:05:40] 反正呢，
[00:05:41] 这一轮还是给大家正在抽答题卡，
[00:05:43] 你们如果需要的话，
[00:05:45] 可以抖音同步抽一下答题卡。
[00:05:47] 啊，
[00:05:47] 有个同学昨天晚上给我发了个信息，
[00:05:50] 说出了我20多个团体卡，
[00:05:52] 20多个摇摇乐。
[00:05:53] 也是挺好哈，
[00:05:55] 兄弟，
[00:05:55] 然后呢？
[00:05:56] 好好的努力。
[00:05:58] 行吧OK，
[00:05:58] 另外呢，
[00:05:59] 你你那个超大v的刷题，
[00:06:01] 还有套题的话呢，
[00:06:03] 一周左右也就给大家上线了啊，
[00:06:05] 如果你们想继续刷题的，
[00:06:08] 就直接跟不想继续刷题的。
[00:06:10] 自己就多刷一些题，
[00:06:11] 也是没有问题的，
[00:06:12] 大家不要有拍课的焦虑好吧？
[00:06:15] 好了，
[00:06:15] 所有的同学可以把自己家乡的名字呢敲在评论区，
[00:06:19] 让我看一下你们都是哪个地方的人，
[00:06:21] 我们直播呢，
[00:06:22] 马上也就开始了啊。
[00:06:24] 我们直播也就马上开始了。
[00:06:26] 啊。
[00:06:30] OK好了，
[00:06:31] 我现在能够看清楚了哈。
[00:06:35] 好嘞，
[00:06:36] 所有的同学们，
[00:06:37] 这节课我首先问大家一下，
[00:06:39] 你们觉得这篇大作文难还是不难？
[00:06:41] 哪位同学可以告诉我？
[00:06:43] 这节课的话呢，
[00:06:44] 这个大作文的话呢，
[00:06:46] 是二六年国考地市的一篇大作文啊，
[00:06:49] 很多同学的话呢，
[00:06:50] 当年在国考地市遇到这篇大作文呢。
[00:06:53] 是完全崩溃了的分论点，
[00:06:55] 根本就找不出来，
[00:06:56] 那我们今天带着大家来把这个题目呢做一下，
[00:06:59] 我们看看能不能帮助大家把它搞定？
[00:07:02] 好了，
[00:07:02] 首先跟着我看一下题，
[00:07:04] 给定材料五中提到多样性，
[00:07:07] 蕴含着创造力，
[00:07:08] 请你对此进行深入思考。
[00:07:11] 参考给定材料联系实际自选角度，
[00:07:14] 自拟题目写一篇文章，
[00:07:16] 现在我问一下大家。
[00:07:18] 如果我在审题的时候，
[00:07:20] 我拿到这个题目，
[00:07:21] 脑袋空白，
[00:07:22] 我脑子当中审题，
[00:07:23] 我的底层逻辑应该是什么？
[00:07:25] 首先要把标题和总论点直接给确定吧，
[00:07:29] 请问标题的前半句和后半句各应该是什么呢？
[00:07:34] 标题的前半句，
[00:07:35] 它应该是一个对策标题的后半句，
[00:07:38] 它应该是一个影响同意吧，
[00:07:41] 好了，
