[00:01:18] 大家现在能够听见吗？
[00:01:21] 能够听见的话，
[00:01:22] 给老师打个一。
[00:01:24] 能够听见吗？
[00:01:25] 现在又没有摄像头了啊。
[00:01:27] 哎呀，
[00:01:27] 反正就是这个样子吧，
[00:01:29] 这节课我因为有的同学呢，
[00:01:31] 非让我弄个无美颜的，
[00:01:33] 所以的话呢，
[00:01:34] 又没有摄像头了，
[00:01:35] 我的妈呀。
[00:01:36] 这个我刚又给大家换了一个设备啊。
[00:01:40] 好了，
[00:01:40] 现在大家如果能够听见的话，
[00:01:42] 就给老师打个一我们直播呢，
[00:01:44] 马上也就开始了哈，
[00:01:45] 这节课呢，
[00:01:46] 我们要给大家呢，
[00:01:47] 扎扎实实的搞一下好吧？
[00:01:49] 你们如果要看摄像头的话，
[00:01:51] 还得等十分钟，
[00:01:52] 能等吗？
[00:01:53] 我再换一台电脑指导。
[00:01:55] 需要一定看摄像头吗？
[00:02:01] 不用了吧？
[00:02:02] 好好好，
[00:02:02] 我这个不知道怎么回事啊，
[00:02:05] 今天晚上这个摄像头的话呢，
[00:02:07] 不管用了。
[00:02:08] 哎呀，
[00:02:08] 也比较麻烦，
[00:02:09] 对不起大家好了，
[00:02:10] 现在的话呢，
[00:02:11] 大家可以把自己家乡的名字敲在评论区，
[00:02:14] 让我看看你们都是哪个城市的人啊？
[00:02:17] 我们这节课呢，
[00:02:18] 给大家呢，
[00:02:19] 就是还是要讲进入多主题的写作了，
[00:02:22] 大家来看一下。
[00:02:24] 给定资料四，
[00:02:25] 以新路，
[00:02:25] 新路，
[00:02:26] 新路为题目，
[00:02:27] 联系实际自选角度写一篇议论文，
[00:02:30] 我现在问一下所有的同学。
[00:02:33] 当你看到这个题目的时候，
[00:02:35] 你觉得这个题目对于我们来讲大概率它是单主题。
[00:02:40] 还是双主题，
[00:02:41] 还是多主题，
[00:02:43] 哪位同学能够看到认真的来琢磨一下这个题目啊，
[00:02:47] 拿到任何一个题目，
[00:02:49] 第一步思考的就是要判定。
[00:02:52] 它到底是单主题，
[00:02:53] 双主题还是多主题？
[00:02:55] 这个题目我觉得它应该是一个多主题，
[00:02:58] 你看出现了一个词，
[00:03:00] 两个词，
[00:03:01] 还有三个词。
[00:03:02] 这三个词是非常重要的好吧，
[00:03:05] 这三个词是非常重要的好了，
[00:03:07] 以心路心路心路为题，
[00:03:10] 请问为题的话。
[00:03:11] 我们待会还需不需要我们去自拟标题？
[00:03:15] 哪位同学可以告诉我，
[00:03:17] 围棋的话还需不需要我们去自拟标题？
[00:03:21] 你会发现就不需要了，
[00:03:23] 那我们就直接用。
[00:03:24] 这个作为我们的原题也就行了，
[00:03:27] 这个时候我问我再问大家一个问题，
[00:03:31] 你们这个时候觉得新路新路新路这三个词。
[00:03:35] 在考试的时候需不需要把它给我进行一个解释？
[00:03:40] 哪位同学可以告诉我，
[00:03:42] 那我觉得还是需要的吧，
[00:03:44] 因为他们说的比较形象，
[00:03:46] 它本质上来讲是一个比喻性的说法。
[00:03:49] 所以我最好呢，
[00:03:50] 还是要把它搞定OK，
[00:03:52] 这是我们的第二个问题，
[00:03:54] 第三个问题，
[00:03:56] 新新新。
[00:03:56] 大家仅看这个字面意思，
[00:03:59] 用你的常识能不能给老师判断出来，
[00:04:03] 这三个心是代表什么？
[00:04:05] 哪位同学可以告诉我，
[00:04:07] 第一个心大家觉得即使不看材料，
[00:04:10] 第二个心不看材料，
[00:04:12] 第三个心不看材料，
[00:04:13] 能不能给老师先猜一下？
[00:04:15] 哪位同学可以告诉我，
[00:04:17] 第一个心我大概率知道它可能是人心，
[00:04:21] 还可能是什么民心。
[00:04:22] 是吧，
[00:04:23] 第二个心大家觉得它可能是什么心，
[00:04:26] 它可能是我们的艰辛。
[00:04:29] 还可能是什么心，
[00:04:30] 还可能是辛苦是吧？
[00:04:32] 都是可以的，
[00:04:33] 第三个心大家觉得大概率按照常识去猜的话，
[00:04:37] 它大概率可能是什么？
[00:04:39] 是不是代表一个创新啊？
[00:04:42] 哎，
[00:04:42] 这个时候我们就全部把它搞定了，
[00:04:46] 你看新新新全部搞定。
[00:04:48] 好了，
[00:04:48] 那我问大家一下，
[00:04:50] 就是你们觉得在题干当中出现的这三个新在材料当中大概率会不会出现这三个新呢？
[00:04:58] 大家觉得会不会出现在题干当中？
[00:05:01] 如果有这三个心，
[00:05:02] 如果他想命题没有任何争议的话，
[00:05:05] 他在材料当中大概率会出现这三个字，
[00:05:08] 这还是比较重要的。
[00:05:10] 好了，
[00:05:11] 我们再带着大家往下看啊，
[00:05:13] 大家来看一下。
[00:05:14] 就是第一个心，
