[00:00:00] 在电视上看什么嘴，
[00:00:04] 你说这一句很有夏天的感觉，
[00:00:10] 手中的铅笔。
[00:00:12] 在纸上来来回回，
[00:00:16] 我用几样字形容你是我的谁？
[00:00:22] 知道你的滋味，
[00:00:25] 那遍你不想了解初恋的香味，
[00:00:31] 就这样被过。
[00:00:34] 不去回那温暖的夜，
[00:00:38] 我想了解他对你说你什么歌词标着一种。
[00:00:47] 我感觉你伤悲，
[00:00:51] 我的爱溢出就像雨水。
[00:00:56] 子落叶跟我的思念厚厚一叠，
[00:01:02] 几句是非，
[00:01:04] 也无法将我的热情。
[00:01:08] 你出现在我诗的每一页雨下整夜。
[00:01:19] 我的爱溢出就像雨水窗台，
[00:01:24] 明月夜像诗里纷纷的美丽章节，
[00:01:29] 我渐渐陷入。
[00:01:32] 哪怕永远爱你，
[00:01:35] 写进诗的结尾，
[00:01:38] 你是我唯一想要的结。
[00:01:44] 别太兴奋。
[00:01:57] 为什么？
[00:02:11] 我的爱溢出就像雨水院子里。
[00:02:20] 有我的思念，
[00:02:22] 厚厚一叠，
[00:02:24] 几句是非，
[00:02:26] 也无法将我的热情冷却。
[00:02:31] 你出现在我诗的每一页。
[00:02:37] 你的温度我打碎，
[00:02:41] 幸福这个季节，
[00:02:44] 而你的脸颊像田里收。
[00:02:48] 风的幻觉，
[00:02:51] 你突然对我说情侣相恋，
[00:02:56] 此刻却只想见吻，
[00:03:00] 你却找不。
[00:03:03] 在雨下整夜，
[00:03:05] 我的爱溢出，
[00:03:08] 就像雨水院子落叶，
[00:03:12] 你跟我的思念厚厚的一。
[00:03:17] 结局是非也无法将我的热情冷却你出现在我诗的每一页。
[00:03:30] 这一夜，
[00:03:32] 我的爱溢出，
[00:03:34] 就像雨水，
[00:03:36] 窗台，
[00:03:37] 蝴蝶恋恋恋相思，
[00:03:41] 你还没安慰你就。
[00:03:45] 却了解那永远爱你写进诗的结尾，
[00:03:52] 余生不为你想要的结。
[00:03:56] 嗯。
[00:04:39] 嗯嗯嗯。
[00:04:47] 爱像一阵风吹。
[00:05:00] 换他走，
[00:05:02] 就这样的结奏，
[00:05:06] 心都无可奈何。
[00:05:10] 小爱同学暂停。
[00:05:17] 哎呀，
[00:05:17] 好了，
[00:05:18] 同学们，
[00:05:18] 你们都是哪个城市的？
[00:05:20] 把自己的具体的城市名字敲在评论区，
[00:05:24] 让我看看大家都是哪里人？
[00:05:26] 能不能遇到一些熟悉的城市，
[00:05:29] 熟悉的人啊？
[00:05:30] 很多同学呢，
[00:05:31] 有的时候都能在我的直播间遇到自己的前男友或者是前前前女友啊。
[00:05:37] 哎呀，
[00:05:37] 今天晚上的话呢呃，
[00:05:39] 肯定不会拖堂了，
[00:05:40] 今天晚上这节课呢，
[00:05:42] 相对来讲比较简单粗暴，
[00:05:44] 就能够帮大家搞定啊。
[00:05:50] 好了，
[00:05:51] 所有的同学，
[00:05:52] 我们这节课也就开始了，
[00:05:54] 如果大家能够听见的话，
[00:05:55] 就给老师打个一我们直播呢，
[00:05:58] 也就正式开始了。
[00:05:59] 这节课要给大家讲的是一个分论点的润色。
[00:06:04] 很多同学呢，
[00:06:05] 可能现在都不知道分论点是什么，
[00:06:07] 我给大家说一下，
[00:06:09] 分论点一般会有三种样式。
[00:06:11] 首先大家来看一下第一种样式，
[00:06:14] 它是通过总论点和对策的方式组成的，
[00:06:18] 比如说。
[00:06:19] 总论点是推动农业高质量发展，
[00:06:22] 它一般是标题的前半句，
[00:06:25] 偶尔呢，
[00:06:26] 也可能用标题的后半句。
[00:06:28] 加一个对策，
[00:06:29] 要走质量兴农之路。
[00:06:31] 质量兴农就是我们要干的一个对策，
[00:06:35] 这是。
[00:06:36] 分论点的第一种样式，
[00:06:38] 请问这种样式一般我们写的文章叫什么文章？
[00:06:42] 哪位同学可以告诉我？
[00:06:44] 这种文章呢，
[00:06:45] 大家在考试的时候，
[00:06:47] 它是叫策论文，
[00:06:49] 策论文呢，
[00:06:50] 顾名思义就是重点呢，
[00:06:52] 是写对策的。
[00:06:53] 好了，
[00:06:54] 再接着给大家看一下第二个总论点，
[00:06:57] 加上分论点的影响，
[00:06:59] 这个是怎么写的？
[00:07:01] 做好民生小事，
[00:07:02] 这是一个总论点。
[00:07:04] 它有什么影响呢？
[00:07:06] 它可以对于人民有影响，
[00:07:08] 有利于增进人民的幸福水平。
[00:07:11] 大家看这种文章写出来之后，
[00:07:13] 你觉得它叫什么文章？
[00:07:15] 哪位同学可以告诉我，
[00:07:18] 这种文章在考试的时候叫正论文啊，
[00:07:22] 叫正论文。
[00:07:23] 好，
[00:07:23] 我再问大家一下，
[00:07:24] 还有一种是总论点加分论点的对策，
[00:07:27] 加分论点的影响大家，
[00:07:29] 这个总论点呢，
[00:07:30] 有的时候会有，
[00:07:31] 有的时候会没有。
[00:07:33] 可以省略的。
[00:07:34] 你看这两句话，
[00:07:36] 它就是一个，
[00:07:37] 这个是一个对策，
[00:07:39] 这个是一个影响。
[00:07:41] 这个是一个对策，
[00:07:42] 这个是一个影响，
[00:07:44] 前面可以加上一个总论点，
[00:07:46] 有没有同学知道这种写作？
[00:07:49] 的文体叫什么文体？
[00:07:51] 这种写作叫议论文好吧，
[00:07:54] 这种写作叫议论文。
[00:07:56] 我现在问大家一下，
[00:07:58] 一共有三种文体，
